Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,Control,Control 10,LapChol Case 0018 10,0,1,2,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,0,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,10,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,20,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,30,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,30,2,2,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,70,1,1,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,80,1,1,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,80,2,2,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,110,1,1,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,110,2,2,1,,cautery,other,right,
,Control,Control 10,LapChol Case 0018 10,120,1,1,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,120,2,2,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,130,1,1,1,,G,other,left,
,Control,Control 10,LapChol Case 0018 10,130,2,2,1,,cautery,other,right,
,Control,Control 10,LapChol Case 0018 10,140,1,1,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,140,2,0,0,,cautery,,right,
,Control,Control 10,LapChol Case 0018 10,170,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,170,2,2,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,180,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,180,2,2,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,190,1,1,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,190,2,2,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,230,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 10,LapChol Case 0018 10,240,1,1,1,,cautery,other,right,
,Control,Control 10,LapChol Case 0018 10,250,1,1,1,,cautery,other,right,
,Control,Control 10,LapChol Case 0018 10,260,1,1,1,,G,other,left,
,Control,Control 10,LapChol Case 0018 10,270,1,1,1,,G,other,left,
,Control,Control 10,LapChol Case 0018 10,270,2,0,0,,cautery,,right,
,Control,Control 10,LapChol Case 0018 10,290,1,1,1,,cautery,other,right,
,Control,Control 10,LapChol Case 0018 10,330,1,1,1,,G,RG,left,
,Control,Control 10,LapChol Case 0018 10,330,2,2,1,,cautery,other,right,
