Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,BDI,BDI Video,V4-Trimmed,30,1,2,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,30,2,1,2,,dissector,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,60,1,2,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,60,2,1,2,,dissector,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,70,1,2,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,70,2,1,1,,dissector,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,80,1,1,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,80,2,0,0,,dissector,,right,
,BDI,BDI Video,V4-Trimmed,120,1,2,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,120,2,1,2,,dissector,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,130,1,2,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,130,2,1,2,,dissector,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,140,1,2,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,140,2,1,2,,dissector,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,150,1,1,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,160,1,3,0,,none,,,
,BDI,BDI Video,V4-Trimmed,160,2,1,1,,dissector,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,230,1,2,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,230,2,1,1,,cautery,other,right,
,BDI,BDI Video,V4-Trimmed,260,1,2,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,260,2,1,1,,cautery,energy sharp dissection,right,
,BDI,BDI Video,V4-Trimmed,270,1,1,1,,cautery,energy sharp dissection,right,
,BDI,BDI Video,V4-Trimmed,300,1,1,1,,peanut,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,360,1,2,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,360,2,1,2,,suction,suction,right,
,BDI,BDI Video,V4-Trimmed,370,1,1,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,370,2,2,2,,suction,suction,right,
,BDI,BDI Video,V4-Trimmed,380,1,1,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,380,2,2,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,390,1,1,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,390,2,0,0,,peanut,,right,
,BDI,BDI Video,V4-Trimmed,400,1,1,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,410,1,1,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,410,2,1,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V4-Trimmed,510,1,1,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,510,2,2,1,,G2,RG,left,
,BDI,BDI Video,V4-Trimmed,510,3,0,0,,suction,,right,
,BDI,BDI Video,V4-Trimmed,590,1,1,2,,cautery,energy sharp dissection,right,
,BDI,BDI Video,V4-Trimmed,660,1,1,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,660,2,1,2,,G2,RG,left,
,BDI,BDI Video,V4-Trimmed,690,1,1,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,690,2,0,0,,dissector,,right,
,BDI,BDI Video,V4-Trimmed,710,1,1,1,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,720,1,2,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,720,2,1,2,,dissector,other,right,
,BDI,BDI Video,V4-Trimmed,750,1,1,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,750,2,0,0,,suction,,right,
,BDI,BDI Video,V4-Trimmed,770,1,2,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,770,2,1,2,,suction,other,right,
,BDI,BDI Video,V4-Trimmed,780,1,1,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,780,2,0,0,,suction,,right,
,BDI,BDI Video,V4-Trimmed,800,1,1,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,800,2,0,0,,suction,,right,
,BDI,BDI Video,V4-Trimmed,810,1,1,2,,G,RG,left,
,BDI,BDI Video,V4-Trimmed,810,2,0,0,,suction,,right,
,BDI,BDI Video,V4-Trimmed,820,1,1,2,,G,RG,left,
