Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,Control,Control 1 ,LapChol Case 0001 03,0,1,1,1,,G,RG,Left,
,Control,Control 1 ,LapChol Case 0001 03,0,2,2,2,,Scissor,Cut-Sharp dissection,Right,
,Control,Control 1,LapChol Case 0001 03,10,1,1,1,,G,RG,Left,
,Control,Control 1,LapChol Case 0001 03,10,2,0,0,,Scissor,,Right,
,Control,Control 1,LapChol Case 0001 03,30,1,2,1,,G,RG,Left,
,Control,Control 1,LapChol Case 0001 03,30,2,1,1,,Scissor,cut-sharp dissection,right,
,Control,Control 1,LapChol Case 0001 03,40,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,70,1,1,1,,harmonic,other,left,
,Control,Control 1,LapChol Case 0001 03,80,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,110,1,2,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,110,2,1,1,,dissector,blunt dissection,left,
,Control,Control 1,LapChol Case 0001 03,140,1,1,1,,harmonic,energy-sharp dissection,right,
,Control,Control 1,LapChol Case 0001 03,190,1,2,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,190,1,1,1,,dissector,other,right ,
,Control,Control 1,LapChol Case 0001 03,200,1,2,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,200,2,1,1,,dissector,blunt dissection,right,
,Control,Control 1,LapChol Case 0001 03,210,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,230,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,240,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,240,2,2,1,,dissector,other,right,
,Control,Control 1,LapChol Case 0001 03,250,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,260,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,260,2,0,0,,scissor,,right,
,Control,Control 1,LapChol Case 0001 03,270,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,270,2,2,1,,scissor,blunt dissection,right,
,Control,Control 1,LapChol Case 0001 03,280,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,280,2,2,1,,scissor,cut-sharp dissection,right,
,Control,Control 1,LapChol Case 0001 03,300,1,2,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,300,2,1,1,,scissor,other,right,
,Control,Control 1,LapChol Case 0001 03,310,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,320,1,1,1,,G,RG,left,
,Control,Control 1,LapChol Case 0001 03,320,2,0,0,,harmonic,,right,
