Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,BDI,BDI Video,V12-Trimmed,130,2,1,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V12-Trimmed,140,1,1,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V12-Trimmed,160,1,1,1,,peanut,other,right,
,BDI,BDI Video,V12-Trimmed,160,2,2,1,,G,other,left,
,BDI,BDI Video,V12-Trimmed,200,1,3,0,,none,,,
,BDI,BDI Video,V12-Trimmed,200,2,2,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V12-Trimmed,330,1,1,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V12-Trimmed,370,1,1,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V12-Trimmed,380,1,3,0,,none,,,
,BDI,BDI Video,V12-Trimmed,380,2,0,0,,peanut,,right,
,BDI,BDI Video,V12-Trimmed,390,1,3,0,,none,,,
,BDI,BDI Video,V12-Trimmed,390,2,2,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V12-Trimmed,460,1,1,2,,dissector,other,right,
,BDI,BDI Video,V12-Trimmed,530,1,3,0,,dissector,,left,
,BDI,BDI Video,V12-Trimmed,550,1,1,2,,dissector,blunt dissection,right,
,BDI,BDI Video,V12-Trimmed,580,1,1,2,,peanut,blunt dissection,right ,
,BDI,BDI Video,V12-Trimmed,590,1,1,2,,peanut,blunt dissection,right ,
,BDI,BDI Video,V12-Trimmed,610,1,1,2,,peanut,blunt dissection,right ,
,BDI,BDI Video,V12-Trimmed,630,1,1,2,,peanut,blunt dissection,right ,
,BDI,BDI Video,V12-Trimmed,640,1,1,2,,peanut,blunt dissection,right ,
,BDI,BDI Video,V12-Trimmed,660,1,1,2,,peanut,blunt dissection,right ,
,BDI,BDI Video,V12-Trimmed,710,1,1,2,,dissector,other,right ,
,BDI,BDI Video,V12-Trimmed,730,1,3,0,,none,,,
,BDI,BDI Video,V12-Trimmed,730,2,2,2,,dissector,blunt dissection,right ,
,BDI,BDI Video,V12-Trimmed,870,1,1,2,TBRHS,,other,right ,
