Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,Control,Control 13,LapChol Case 0023 04,10,1,3,0,,none,,,
,Control,Control 13,LapChol Case 0023 04,10,2,2,1,,cautery,other,right,
,Control,Control 13,LapChol Case 0023 04,30,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,30,2,2,1,,cautery,other,right,
,Control,Control 13,LapChol Case 0023 04,60,1,1,1,,cautery,other,right,
,Control,Control 13,LapChol Case 0023 04,60,2,2,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,80,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,80,2,0,0,,cautery,,right,
,Control,Control 13,LapChol Case 0023 04,90,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,90,2,2,1,,cautery,other,right,
,Control,Control 13,LapChol Case 0023 04,100,1,2,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,100,2,2,1,,cautery,energy-sharp dissection,right,
,Control,Control 13,LapChol Case 0023 04,100,3,3,0,,none,,,
,Control,Control 13,LapChol Case 0023 04,110,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,110,2,0,0,,cautery,,right,
,Control,Control 13,LapChol Case 0023 04,120,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,120,2,1,1,,cautery,other,right,
,Control,Control 13,LapChol Case 0023 04,130,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,130,2,2,1,,cautery,other,right,
,Control,Control 13,LapChol Case 0023 04,150,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,150,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 13,LapChol Case 0023 04,160,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,160,2,2,1,,cautery,other,right,
,Control,Control 13,LapChol Case 0023 04,170,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,170,2,0,0,,cautery,,right,
,Control,Control 13,LapChol Case 0023 04,180,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,180,2,2,1,,cautery,other,right,
,Control,Control 13,LapChol Case 0023 04,190,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,190,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 13,LapChol Case 0023 04,190,3,3,0,,none,,,
,Control,Control 13,LapChol Case 0023 04,190,4,3,0,,none,,,
,Control,Control 13,LapChol Case 0023 04,200,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,200,2,2,1,,cautery,other,right,
,Control,Control 13,LapChol Case 0023 04,210,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,210,2,0,0,,cautery,,right,
,Control,Control 13,LapChol Case 0023 04,220,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,220,2,3,0,,none,,,
,Control,Control 13,LapChol Case 0023 04,250,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,250,2,2,1,,cautery,energy-sharp dissection,right,
,Control,Control 13,LapChol Case 0023 04,260,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,270,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,280,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,280,2,0,0,,clip,,right,
,Control,Control 13,LapChol Case 0023 04,290,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,300,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,300,2,2,1,,clip,clip,right,
,Control,Control 13,LapChol Case 0023 04,310,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,320,1,1,1,,G,RG,left,
,Control,Control 13,LapChol Case 0023 04,320,2,2,1,,clip,clip,right,
,Control,Control 13,LapChol Case 0023 04,330,1,1,1,,G,RG,left,
