Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,Control,Control 9,LapChol Case 0016 01,60,1,,,not a target,,,,
,Control,Control 9,LapChol Case 0016 01,90,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,90,2,1,1,,G2,RG,left,
,Control,Control 9,LapChol Case 0016 01,120,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,120,2,2,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,130,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,140,1,1,1,,cautery,other,right,
,Control,Control 9,LapChol Case 0016 01,150,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,160,1,2,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,160,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,170,1,2,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,170,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,180,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,180,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,190,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,190,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,200,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,200,2,0,0,,cautery,,right,
,Control,Control 9,LapChol Case 0016 01,220,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,220,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,230,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,230,2,2,1,,cautery,other,right,
,Control,Control 9,LapChol Case 0016 01,240,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,240,2,2,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,250,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,,2,2,1,,cautery,other,right,
,Control,Control 9,LapChol Case 0016 01,270,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 9,LapChol Case 0016 01,300,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,300,2,0,0,,cautery,,right,
,Control,Control 9,LapChol Case 0016 01,310,1,1,1,,G,RG,left,
,Control,Control 9,LapChol Case 0016 01,310,2,0,0,,cautery,,right,
